similar,"n. 类似物
adj. 相似的"
female,"n. 女人；[动] 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
within,"prep. 在…之内
n. 里面
adv. 在内部"
arrival,n. 到来；到达；到达者
kingdom,"n. 王国；界；领域
"
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
ministry,n. （政府的）部门
president,n. 总统；董事长；校长；主席
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱
"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引
"
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押
"
anyhow,adv. 总之；无论如何；不管怎样
somehow,adv. 以某种方法；莫名其妙地
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
path,n. 道路；小路；轨道
traffic,"n. 交通；运输；贸易；[通信] 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列
"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
information,n. 信息，资料；知识；情报；通知
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
belief,n. 相信，信赖；信仰；教义
unbelievable,adj. 难以置信的；不可信的
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃
"
failure,n. 失败；故障；失败者；破产
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同
"
difference,n. 差异；不同；争执
science,"n. 科学；技术；学科；理科
"
scientific,adj. 科学的，系统的
appear,vi. 出现；显得；似乎；出庭；登场
appearance,n. 外貌，外观；出现，露面
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
absence,n. 没有；缺乏；缺席；不注意
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地
"
wildlife,"n. 野生动植物
adj. 野生动植物的"
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的
"
environment,n. 环境，外界
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
surroundings,n. 环境；周围的事物
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
poison,"n. 毒药，毒物；酒；有毒害的事物；[助剂] 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒
"
poisonous,adj. 有毒的；恶毒的；讨厌的
harm,"n. 伤害；损害
vt. 伤害；危害；损害
"
harmful,adj. 有害的；能造成损害的
injure,vt. 伤害，损害
injury,n. 伤害，损害；受伤处
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦
"
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭
"
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩
"
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
sightseeing,"n. 观光；游览
v. 观光（sightsee的ing形式）；游览
adj. 观光的；游览的"
eyesight,n. 视力；目力
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈
"
greet,"vt. 欢迎，迎接；致敬，致意；映入眼帘
"
attention,n. 注意力；关心；立正！（口令）
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的；[数] 唯一的，独一无二的
"
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细
"
awful,adj. 可怕的；极坏的；使人敬畏的
obvious,adj. 明显的；显著的；平淡无奇的
victory,"n. 胜利；成功；克服
"
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护
"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
personally,adv. 亲自地；当面；个别地；就自己而言
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用
"
service,"n. 服务，服侍；服役；仪式
adj. 服务性的；耐用的；服现役的
vt. 维修，检修；保养
"
reserve,"n. 储备，储存；自然保护区；预备队；缄默；[金融] 储备金
vt. 储备；保留；预约
vi. 预订
"
reservation,n. 预约，预订；保留
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
knowledge,"n. 知识，学问；知道，认识；学科
"
acknowledge,vt. 承认；答谢；报偿；告知已收到
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
relative,"n. 亲戚；相关物；[语] 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
controversial,adj. 有争议的；有争论的
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
contradictory,"n. 对立物；矛盾因素
adj. 矛盾的；反对的；反驳的；抗辩的"
resist,"n. [助剂] 抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
confidential,adj. 机密的；表示信任的；获信任的
conventional,adj. 符合习俗的，传统的；常见的；惯例的
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订
"
revision,n. [印刷] 修正；复习；修订本
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话
"
violate,vt. 违反；侵犯，妨碍；亵渎
violent,adj. 暴力的；猛烈的
violence,n. 暴力；侵犯；激烈；歪曲
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
symptom,n. [临床] 症状；征兆
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
shadow,"n. 阴影；影子；幽灵；庇护；隐蔽处
adj. 影子内阁的
vt. 遮蔽；使朦胧；尾随；预示
vi. 渐变；变阴暗"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄
"
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的
"
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
trap,"n. 陷阱；圈套；[建] 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱
"
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状
"
end,"n. 结束；目标；尽头；末端；死亡
vi. 结束，终止；终结
vt. 结束，终止；终结
"
ending,n. 结局；结尾
endless,adj. 无止境的；连续的；环状的；漫无目的的
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
deadline,n. 截止期限，最后期限
routine,"n. [计] 程序；日常工作；例行公事
adj. 日常的；例行的"
include,vt. 包含，包括
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
agenda,n. 议程；日常工作事项；日程表
timetable,n. 时间表；时刻表；课程表
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
manner,"n. 方式；习惯；种类；规矩；风俗
"
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
communication,n. 通讯，[通信] 通信；交流；信函
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
speech,n. 演讲；讲话；[语] 语音；演说
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止
"
passage,"n. 一段（文章）；走廊；通路
"
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿"
warmth,n. 温暖；热情；激动
wind,"vi. 缠绕；上发条；吹响号角
n. 风；呼吸；气味；卷绕
vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人
"
spoken,"v. 说（speak的过去分词）
adj. 口语的，口头的"
decision,n. 决定，决心；决议
skill,"n. 技能，技巧；本领，技术
"
skilful,adj. 灵巧的; 熟练的; 技术好的
skillful,adj. 熟练的；巧妙的
technique,n. 技巧，技术；手法
technical,adj. 工艺的，科技的；技术上的；专门的
technology,n. 技术；工艺；术语
talent,n. 才能；天才；天资
strength,n. 力量；力气；兵力；长处
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
weak,adj. [经] 疲软的；虚弱的；无力的；不牢固的
weakness,n. 弱点；软弱；嗜好
trouble,"n. 麻烦；烦恼；故障；动乱
vt. 麻烦；使烦恼；折磨
vi. 费心，烦恼"
forgive,"vt. 原谅；免除（债务、义务等）
vi. 表示原谅"
sympathy,n. 同情；慰问；赞同
attitude,n. 态度；看法；意见；姿势
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏
"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
beneficial,adj. 有益的，有利的；可享利益的
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬；[金融] 承兑；承兑远期票据
"
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
motivation,n. 动机；积极性；推动
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
qualification,n. 资格；条件；限制；赋予资格
identity,n. 身份；同一性，一致；特性；恒等式
identification,n. 鉴定，识别；认同；身份证明
symbol,n. 象征；符号；标志
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号
"
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
licence,"n. 许可证，执照；特许
vt. 特许，许可；发给执照"
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
level,"n. 水平；标准；水平面
adj. 水平的；平坦的；同高的
vi. 瞄准；拉平；变得平坦
vt. 使同等；对准；弄平
"
recognise,vt. 认出；承认，认可；识别
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
feeling,"n. 感觉，触觉；感情，情绪；同情
v. 感觉；认为（feel的现在分词）；触摸
adj. 有感觉的；有同情心的；富于感情的"
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
portrait,"n. 肖像；描写；半身雕塑像
"
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现
"
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
explain,v. 说明；解释
explanation,n. 说明，解释；辩解
shout,"n. 呼喊；呼叫
vi. 呼喊；喊叫；大声说
vt. 呼喊；大声说"
reply,"n. 回答；[法] 答辩
vt. 回答；答复
vi. 回答；[法] 答辩；回击"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退
"
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落
"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
